name,description
Seratrodast,Seratrodast is a selective thromboxane A2 receptor antagonist that has been investigated for its potential use in treating asthma and allergic conditions.
Serratiopeptidase,Serratiopeptidase is an enzyme derived from the silkworm that is used for its anti-inflammatory and analgesic properties.
Sertaconazole,Sertaconazole is an antifungal medication used topically for the treatment of skin infections such as tinea and candidiasis.
Sertindole,Sertindole is an atypical antipsychotic used in the treatment of schizophrenia.
Sertraline,"Sertraline is a selective serotonin reuptake inhibitor (SSRI) used primarily to treat depression, anxiety disorders, and obsessive-compulsive disorder."
Sevelamer,Sevelamer is a phosphate binder used to control hyperphosphatemia in patients with chronic kidney disease on dialysis.
Sevoflurane,Sevoflurane is an inhalational anesthetic agent used for induction and maintenance of general anesthesia.
Sildenafil,Sildenafil is a phosphodiesterase type 5 inhibitor used to treat erectile dysfunction and pulmonary arterial hypertension.
Silodosin,Silodosin is an alpha-1 adrenergic antagonist used to treat symptoms of benign prostatic hyperplasia.
Silver Colloid,"A suspension of fine silver particles in liquid, often used for its antimicrobial properties."
Silver Nitrate,"A chemical compound used as a topical antiseptic and in various medical applications, including cauterization."
Silver Sulfadiazine,"A topical cream used to prevent and treat infections in burn wounds, combining silver with sulfadiazine."
Silymarin,"A flavonoid complex extracted from milk thistle, known for its antioxidant properties and potential liver protective effects."
Simethicone,An anti-foaming agent used to relieve bloating and discomfort caused by excess gas in the gastrointestinal tract.
Simvastatin,Simvastatin is a statin medication used to lower cholesterol levels and reduce the risk of cardiovascular disease.
Sirolimus,Sirolimus is an immunosuppressant drug used primarily to prevent organ transplant rejection and treat certain cancers.
Sisomicin,Sisomicin is an aminoglycoside antibiotic used to treat infections caused by certain bacteria.
Sitagliptin,Sitagliptin is an oral antihyperglycemic agent used to improve glycemic control in adults with type 2 diabetes.
Snake Venom Antiserum,Snake Venom Antiserum is a biological product used to treat envenomation from snake bites by neutralizing venom effects.
Sodium Bicarbonate,"A chemical compound with the formula NaHCO3, commonly used as an antacid and in various industrial applications."
Sodium Chloride,"An ionic compound with the formula NaCl, commonly known as table salt, used in food seasoning and preservation."
Sodium Citrate,"A sodium salt of citric acid, used as a food additive and in medical applications to manage acidity."
Sodium Cromoglycate,A medication used primarily as an anti-inflammatory agent in the treatment of asthma and allergic conditions.
Sodium Diatrizoate,A radiopaque contrast agent used in medical imaging to enhance the visibility of internal structures.
Sodium Feredetate,A chelating agent used to bind iron in the treatment of iron overload conditions.
Sodium Fluoride,A compound used in dental products to help prevent tooth decay and strengthen enamel.
Sodium Fusidate,"An antibiotic used to treat bacterial infections, particularly skin infections."
Sodium Hyaluronate,A naturally occurring polysaccharide used in various medical and cosmetic applications for its hydrating properties.
Sodium Iodide,A salt of iodine used in medical imaging and as a dietary supplement to prevent iodine deficiency.
Sodium Lactate,A sodium salt of lactic acid used as a buffering agent and in intravenous solutions to help maintain pH balance.
Sodium Metabisulphite,A chemical compound used as a preservative and antioxidant in food and pharmaceutical products.
Sodium Monofluorophosphate,A fluoride compound used in dental products to help prevent tooth decay.
Sodium Picosulfate,A stimulant laxative used to treat constipation and prepare the bowel for medical examinations.
Sodium Stibogluconate,An antiprotozoal medication used primarily in the treatment of leishmaniasis.
Sodium Sulphate,A saline laxative used to treat constipation and prepare the bowel for medical examinations.
Sodium Tauroglycocholate,A bile salt that aids in the emulsification and absorption of dietary fats.
Sodium Valproate,An anticonvulsant medication used primarily to treat epilepsy and bipolar disorder.
Sodium acid phosphate,A phosphate salt used as a laxative and in various medical applications to correct electrolyte imbalances.
Sodium aminosalicylate,An anti-inflammatory agent used in the treatment of tuberculosis and other conditions.
Sofalcone,Sofalcone is a gastroprotective agent used to treat gastric ulcers and dyspepsia by forming a protective barrier over the gastric mucosa.
Sofosbuvir,Sofosbuvir is an antiviral medication used in the treatment of chronic hepatitis C virus infection.
Solifenacin,Solifenacin is an antimuscarinic agent used to treat overactive bladder by reducing urinary frequency and urgency.
Somatostatin,"Somatostatin is a peptide hormone that inhibits the release of several other hormones and is used in various clinical settings, including acromegaly and certain types of tumors."
Somatropin,Somatropin is a recombinant form of human growth hormone used to treat growth hormone deficiency and certain conditions leading to short stature.
Sorafenib,"Sorafenib is a multikinase inhibitor used primarily in the treatment of certain types of cancer, including renal cell carcinoma and hepatocellular carcinoma."
Sorbitol,"Sorbitol is a sugar alcohol used as a sweetener and humectant, and it is also utilized in medical formulations as a laxative."
Sorbitol Solution,"Sorbitol Solution is a liquid formulation of sorbitol, often used as a sweetening agent and in osmotic laxatives."
Sotalol,Sotalol is a beta-blocker used to treat arrhythmias and to maintain normal heart rhythm.
Sparfloxacin,"Sparfloxacin is a fluoroquinolone antibiotic used to treat various bacterial infections, particularly respiratory tract infections."
Spiramycin,Spiramycin is a macrolide antibiotic used primarily to treat infections caused by certain bacteria and protozoa.
Spironolactone,"Spironolactone is a potassium-sparing diuretic used to treat conditions such as hypertension, heart failure, and edema."
Stabilized Oxychloro,"Stabilized Oxychloro refers to a formulation containing oxychlorine compounds, often used for disinfection and water treatment."
Standard Cobra Venom,"Standard Cobra Venom is a neurotoxic substance derived from cobra species, used in research and antivenom production."
Standard common krait Venom,"Standard common krait Venom is a potent neurotoxin obtained from the common krait, utilized in research and antivenom development."
Stannous fluoride,A fluoride compound used in dental products to help prevent tooth decay and strengthen enamel.
Stanozolol,An anabolic steroid used in veterinary medicine and sometimes illicitly by athletes to enhance performance.
Stavudine,An antiretroviral medication used in the treatment of HIV infection.
Sterile Water,"Water that has been purified and sterilized for use in medical applications, including diluting medications."
Streptokinase,An enzyme used as a thrombolytic agent to dissolve blood clots in certain medical conditions.
Streptomycin,"An antibiotic used to treat various infections caused by bacteria, particularly tuberculosis."
Strontium Chloride,A chemical compound used in dental products and as a potential treatment for osteoporosis.
Strontium Ranelate,A medication used for the treatment of osteoporosis in postmenopausal women.
Succinyl Choline Chloride,A neuromuscular blocking agent used to induce muscle relaxation during surgical procedures.
Sucralfate,A medication that forms a protective barrier over ulcers in the gastrointestinal tract.
Sucroferric oxyhydroxide,Sucroferric oxyhydroxide is an iron replacement product used to treat iron deficiency anemia in patients with chronic kidney disease.
Sugammadex,Sugammadex is a selective relaxant binding agent used to reverse neuromuscular blockade induced by certain muscle relaxants during surgery.
Sulbactam,Sulbactam is a beta-lactamase inhibitor that is often combined with penicillins to enhance their effectiveness against resistant bacteria.
Sulfadiazine,Sulfadiazine is a sulfonamide antibiotic used to treat bacterial infections and is commonly used in combination with pyrimethamine for the treatment of toxoplasmosis.
Sulfamethopyrazine,"Sulfamethopyrazine is a sulfonamide antibiotic used to treat various bacterial infections, particularly in urinary tract infections."
Sulfamethoxazole,"An antibiotic that is part of the sulfonamide class, commonly used to treat bacterial infections."
Sulfasalazine,"A medication used primarily to treat inflammatory bowel disease and rheumatoid arthritis, containing a sulfonamide component."
Sulfiram,A drug used in the treatment of chronic alcoholism by producing unpleasant effects when alcohol is consumed.
Sulphacetamide,An antibacterial agent used topically to treat eye infections and other bacterial skin conditions.
Sulphadoxine,An antimalarial medication often used in combination with pyrimethamine for the treatment of malaria.
Sulphur,"A chemical element often used in homeopathy and dermatological treatments, known for its anti-inflammatory properties."
Sulpiride,An atypical antipsychotic medication primarily used to treat schizophrenia and depression.
Sultamicillin tosilate,"A prodrug of ampicillin and sulbactam, used as an antibiotic for various bacterial infections."
Sumatriptan,A medication used to treat migraine headaches by acting as a selective agonist for serotonin receptors.
Sunitinib,"A tyrosine kinase inhibitor used in the treatment of certain types of cancer, including renal cell carcinoma."
Suxamethonium,Suxamethonium is a depolarizing neuromuscular blocker used to induce muscle relaxation during surgical procedures.
Tacalcitol,Tacalcitol is a synthetic vitamin D3 analog used topically for the treatment of psoriasis.
Tacrolimus,Tacrolimus is an immunosuppressant used to prevent organ transplant rejection and to treat autoimmune diseases.
Tadalafil,Tadalafil is a phosphodiesterase type 5 inhibitor used to treat erectile dysfunction and pulmonary arterial hypertension.
Tadalafil IP,Tadalafil IP refers to Tadalafil that meets the standards set by the Indian Pharmacopoeia for quality and purity.
Tafamidis,"Tafamidis is a medication used to treat transthyretin amyloidosis, a condition characterized by the accumulation of amyloid proteins in tissues."
Tafluprost,Tafluprost is a prostaglandin analog used in the treatment of glaucoma and ocular hypertension by increasing the outflow of aqueous humor.
Tamoxifen,Tamoxifen is a selective estrogen receptor modulator (SERM) primarily used in the treatment of hormone receptor-positive breast cancer.
Tamsulosin,Tamsulosin is an alpha-1 adrenergic antagonist used to treat benign prostatic hyperplasia (BPH) by relaxing muscles in the prostate and bladder neck.
Tannic Acid,"Tannic acid is a polyphenolic compound found in various plants, used for its astringent properties and in various industrial applications."
Tapentadol,Tapentadol is a centrally acting analgesic used for the management of moderate to severe pain.
Taurine,"Taurine is a sulfur-containing amino acid that plays a role in various biological processes, including bile salt formation and osmoregulation."
Tazarotene,Tazarotene is a topical retinoid used primarily for the treatment of psoriasis and acne.
Tazobactum,"A beta-lactamase inhibitor, often co-administered with beta-lactam antibiotics to prevent their degradation by bacterial enzymes."
Tegafur,"Tegafur is an antineoplastic agent used in the treatment of various cancers, often in combination with other chemotherapeutic agents."
Tegaserod,Tegaserod is a selective serotonin 5-HT4 receptor agonist used for the treatment of irritable bowel syndrome with constipation.
Teicoplanin,Teicoplanin is a glycopeptide antibiotic used to treat serious infections caused by Gram-positive bacteria.
Telbivudine,Telbivudine is an antiviral medication used for the treatment of chronic hepatitis B virus infection.
Telmisartan,Telmisartan is an angiotensin II receptor antagonist used primarily for the treatment of hypertension.
Temozolomide,"Temozolomide is an alkylating agent used in the treatment of certain types of brain tumors, including glioblastoma."
Temsirolimus,Temsirolimus is an mTOR inhibitor used primarily in the treatment of advanced renal cell carcinoma.
Tenecteplase,Tenecteplase is a thrombolytic agent used to dissolve blood clots in patients with acute myocardial infarction.
Teneligliptin,Teneligliptin is a DPP-4 inhibitor used in the management of type 2 diabetes mellitus.
Tenofovir Alafenamide,Tenofovir Alafenamide is an antiviral medication used for the treatment of HIV and chronic hepatitis B.
Tenofovir disoproxil fumarate,Tenofovir disoproxil fumarate is an antiviral medication used for the treatment of HIV and chronic hepatitis B.
Tenoxicam,Tenoxicam is a non-steroidal anti-inflammatory drug (NSAID) used to relieve pain and inflammation.
Terazosin,Terazosin is an alpha-1 adrenergic antagonist used primarily to treat hypertension and benign prostatic hyperplasia.
Terbinafine,Terbinafine is an antifungal medication used to treat fungal infections of the skin and nails.
Terbutaline,Terbutaline is a bronchodilator used to treat asthma and other conditions that cause bronchospasm.
Terfenadine,Terfenadine is an antihistamine that was used to treat allergic conditions but is no longer widely available due to safety concerns.
Teriflunomide,Teriflunomide is an immunomodulatory drug used in the treatment of multiple sclerosis.
Teriparatide,Teriparatide is a recombinant form of parathyroid hormone used to treat osteoporosis.
Terizidone,Terizidone is an antipsychotic medication used primarily in the treatment of schizophrenia.
Terlipressin,Terlipressin is a synthetic vasopressin analog used to treat conditions like esophageal variceal bleeding.
Terpin Hydrate,Terpin Hydrate is an expectorant used to relieve cough and respiratory congestion.
Testosterone,A steroid hormone that plays a key role in the development of male reproductive tissues and the promotion of secondary sexual characteristics.
Testosterone Phenylpropionate,A fast-acting ester of testosterone used in hormone replacement therapy and bodybuilding.
Testosterone Propionate,A short-acting ester of testosterone commonly used in hormone replacement therapy and by athletes.
Tetanus Immunoglobulin,A preparation of antibodies used for passive immunization against tetanus.
Tetanus Toxoid,A vaccine that stimulates the immune system to produce antibodies against tetanus toxin.
Tetrabenazine,Tetrabenazine is a medication used primarily to treat movement disorders such as chorea associated with Huntington's disease.
Tetracaine,Tetracaine is a local anesthetic commonly used for surface anesthesia in medical procedures.
Tetrachlorodecaoxygen Anion,Tetrachlorodecaoxygen Anion is a chemical species that may be studied in various chemical and environmental contexts.
Tetracosactide,Tetracosactide is a synthetic peptide that mimics the action of adrenocorticotropic hormone (ACTH) and is used in diagnostic testing.
Tetracycline,Tetracycline is a broad-spectrum antibiotic used to treat a variety of bacterial infections.
Tetrahydrozoline,Tetrahydrozoline is a sympathomimetic agent used as a topical vasoconstrictor in ophthalmic solutions to relieve redness in the eyes.
Thalidomide,Thalidomide is a medication that was originally used as a sedative and later for the treatment of certain conditions such as multiple myeloma and leprosy-related complications.
Theophylline,Theophylline is a bronchodilator used in the treatment of respiratory diseases such as asthma and chronic obstructive pulmonary disease (COPD) by relaxing the muscles of the airways.
Thiamine Nitrate,Thiamine nitrate is a form of vitamin B1 (thiamine) used as a dietary supplement and in the treatment of thiamine deficiency.
Thiamine mononitrate,Thiamine mononitrate is a stable form of vitamin B1 used in dietary supplements and to prevent or treat thiamine deficiency.
Thiamine,"Thiamine, also known as vitamin B1, is a water-soluble vitamin essential for carbohydrate metabolism and nerve function."
Thiocolchicoside,"Thiocolchicoside is a muscle relaxant and anti-inflammatory agent derived from colchicine, used primarily in the treatment of muscle spasms."
Thioguanine,Thioguanine is an antimetabolite medication used in the treatment of certain types of leukemia and other malignancies.
Thiomersal,Thiomersal is a mercury-containing compound used as a preservative in some vaccines and pharmaceutical products.
Thiopental Sodium,Thiopental sodium is a short-acting barbiturate used primarily for induction of anesthesia.
Thioridazine,Thioridazine is an antipsychotic medication used primarily to treat schizophrenia.
Thiotepa,"Thiotepa is a chemotherapy agent used in the treatment of various cancers, including breast and ovarian cancer."
Thrombin,Thrombin is an enzyme that plays a key role in blood coagulation by converting fibrinogen to fibrin.
Thymosin alpha,Thymosin alpha is a peptide involved in immune system regulation and is studied for its potential therapeutic effects.
Thyroxine,"Thyroxine, also known as T4, is a hormone produced by the thyroid gland that regulates metabolism."
Tiagabine,Tiagabine is an anticonvulsant medication used primarily for the treatment of epilepsy and is known to enhance the inhibitory effects of GABA in the brain.
Tianeptine,Tianeptine is an atypical antidepressant that is primarily used in the treatment of major depressive disorder and is believed to enhance serotonin uptake.
Tiapride,"Tiapride is an atypical antipsychotic used in the treatment of various psychiatric disorders, particularly in managing symptoms of schizophrenia."
Tibolone,Tibolone is a synthetic steroid used in hormone replacement therapy for postmenopausal women to alleviate menopausal symptoms and prevent osteoporosis.
Ticagrelor,Ticagrelor is an antiplatelet medication used to reduce the risk of cardiovascular events in patients with acute coronary syndrome.
Ticarcillin,"Ticarcillin is a penicillin antibiotic used to treat infections caused by certain bacteria, particularly Pseudomonas aeruginosa."
Ticlopidine,Ticlopidine is an antiplatelet medication used to reduce the risk of stroke and other cardiovascular events by inhibiting platelet aggregation.
Tigecycline,"Tigecycline is a broad-spectrum antibiotic belonging to the glycylcycline class, effective against a variety of gram-positive and gram-negative bacteria."
Timolol,Timolol is a non-selective beta-adrenergic antagonist used primarily in the treatment of glaucoma and hypertension.
Tinidazole,Tinidazole is an antiprotozoal and antibacterial medication used to treat infections caused by protozoa and certain anaerobic bacteria.
Tinzaparin,Tinzaparin is a low molecular weight heparin used as an anticoagulant to prevent and treat thromboembolic disorders.
Tioconazole,Tioconazole is an antifungal medication used topically to treat vaginal yeast infections.
Tiotropium,Tiotropium is a long-acting anticholinergic bronchodilator used in the management of chronic obstructive pulmonary disease (COPD) and asthma.
Tipiracil,"Tipiracil is a drug that inhibits the enzyme thymidine phosphorylase, used in combination with other medications for cancer treatment."
Tirofiban,Tirofiban is a glycoprotein IIb/IIIa inhibitor used as an antiplatelet agent to prevent thrombotic events in patients with acute coronary syndrome.
Tiropramide,Tiropramide is an analgesic and antispasmodic medication used primarily for the treatment of pain and muscle spasms.
Tizanidine,Tizanidine is a muscle relaxant that works by blocking nerve impulses and is used to manage spasticity.
Tobramycin,"Tobramycin is an aminoglycoside antibiotic used to treat various bacterial infections, particularly those caused by Gram-negative bacteria."
Tocilizumab,Tocilizumab is a monoclonal antibody that inhibits interleukin-6 (IL-6) and is used in the treatment of autoimmune diseases such as rheumatoid arthritis.
Tocoferol,"Tocoferol, commonly known as vitamin E, is a fat-soluble antioxidant that plays a role in protecting cells from oxidative damage."
Tofacitinib,Tofacitinib is an oral Janus kinase (JAK) inhibitor used in the treatment of rheumatoid arthritis and other autoimmune conditions.
Tofisopam,"Tofisopam is an anxiolytic medication that belongs to the class of benzodiazepine derivatives, primarily used for anxiety disorders."
Tolbutamide,Tolbutamide is an oral hypoglycemic agent used to manage type 2 diabetes by stimulating insulin secretion from the pancreas.
Tolfenamic Acid,Tolfenamic acid is a non-steroidal anti-inflammatory drug (NSAID) used for the treatment of pain and inflammation.
Tolmetin,Tolmetin is a non-steroidal anti-inflammatory drug (NSAID) used to relieve pain and inflammation associated with various conditions.
Tolnaftate,Tolnaftate is an antifungal agent used topically to treat skin infections such as athlete's foot and ringworm.
Tolperisone,Tolperisone is a muscle relaxant used to treat muscle spasms and associated pain.
Tolterodine,Tolterodine is an antimuscarinic medication used to treat overactive bladder symptoms.
Tolvaptan,Tolvaptan is a vasopressin receptor antagonist used to treat conditions like hyponatremia and autosomal dominant polycystic kidney disease.
Topiramate,Topiramate is an anticonvulsant medication used to treat epilepsy and prevent migraine headaches.
Topiroxostat,Topiroxostat is a xanthine oxidase inhibitor used for the treatment of hyperuricemia associated with gout.
Topotecan,"Topotecan is a topoisomerase inhibitor used in the treatment of certain types of cancer, including ovarian and small cell lung cancer."
Torasemide,Torasemide is a loop diuretic used to treat edema associated with heart failure and hypertension.
Trabectedin,Trabectedin is a chemotherapy drug used for the treatment of soft tissue sarcoma and ovarian cancer.
Tramadol,Tramadol is an opioid analgesic used to treat moderate to moderately severe pain.
Trametinib,"Trametinib is a selective inhibitor of MEK1 and MEK2, used in the treatment of certain types of melanoma."
Tranexamic Acid,Tranexamic Acid is an antifibrinolytic agent that helps reduce bleeding by inhibiting the breakdown of fibrin.
Tranylcypromine,Tranylcypromine is a non-selective monoamine oxidase inhibitor (MAOI) used primarily in the treatment of depression.
Trastuzumab,"Trastuzumab is a monoclonal antibody that targets the HER2 receptor, used in the treatment of HER2-positive breast cancer."
Travoprost,Travoprost is a prostaglandin analog used topically to reduce intraocular pressure in patients with glaucoma or ocular hypertension.
Trazodone,Trazodone is an antidepressant medication primarily used to treat major depressive disorder and anxiety disorders.
Treosulfan,Treosulfan is a chemotherapeutic agent used in conditioning regimens prior to hematopoietic stem cell transplantation.
Tretinoin,Tretinoin is a topical retinoid used for the treatment of acne and to reduce the appearance of fine wrinkles and skin discoloration.
Triamcinolone,Triamcinolone is a corticosteroid used to relieve inflammation and allergic reactions in various conditions.
Triamcinolone Acetonide,Triamcinolone Acetonide is a synthetic corticosteroid used in various formulations for its anti-inflammatory and immunosuppressive properties.
Triamcinolone hexacetonide,A synthetic corticosteroid used for its anti-inflammatory and immunosuppressive properties.
Triamterene,A potassium-sparing diuretic used to treat hypertension and edema.
Tribasic Calcium Phosphate,A calcium supplement often used to support bone health and as a dietary supplement.
Tricholine Citrate,A compound used as a dietary supplement that may support liver function and fat metabolism.
Triclofos,A sedative and hypnotic agent used primarily in pediatric medicine for its calming effects.
Triclosan,Triclosan is an antibacterial and antifungal agent commonly used in personal care products and household items.
Trientine Hydrochloride,Trientine Hydrochloride is a chelating agent used in the treatment of Wilson's disease to reduce copper accumulation in the body.
Trifluoperazine,Trifluoperazine is an antipsychotic medication primarily used to treat schizophrenia and severe anxiety.
Trifluridine,Trifluridine is an antiviral medication used topically for the treatment of herpes simplex virus infections of the eye.
Trihexyphenidyl,Trihexyphenidyl is an anticholinergic medication used to treat symptoms of Parkinson's disease and drug-induced extrapyramidal symptoms.
Trimebutine,Trimebutine is an antispasmodic agent used to treat gastrointestinal disorders by regulating bowel motility.
Trimetazidine,Trimetazidine is a metabolic agent used in the management of angina pectoris and other ischemic heart conditions.
Trimethoprim,"Trimethoprim is an antibiotic that inhibits bacterial folic acid synthesis, commonly used to treat urinary tract infections."
Trimethoprim Combinations,Trimethoprim combinations refer to formulations that include trimethoprim with other antibiotics or agents to enhance antibacterial efficacy.
Trimipramine,Trimipramine is a tricyclic antidepressant used primarily for the treatment of major depressive disorder.
Trioxasalen,Trioxasalen is a synthetic compound used primarily in dermatology for its photosensitizing properties.
Triprolidine,Triprolidine is an antihistamine used to relieve allergy symptoms and is known for its sedative effects.
Triptorelin,Triptorelin is a synthetic gonadotropin-releasing hormone (GnRH) analog used in the treatment of hormone-sensitive conditions.
Trithioparamethoxy Phenylpropene,"Trithioparamethoxy Phenylpropene is a chemical compound with potential applications in various fields, including medicinal chemistry."
Triticum Vulgare extract,"Triticum Vulgare extract, derived from wheat, is often used in cosmetics and dietary supplements for its antioxidant properties."
Tropicamide,Tropicamide is a muscarinic antagonist used primarily as a mydriatic agent to dilate the pupils during eye examinations.
Trospium,Trospium is an anticholinergic medication used to treat overactive bladder by reducing urinary frequency and urgency.
Troxerutin,"Troxerutin is a flavonoid used for its potential venotonic and anti-inflammatory properties, often in the treatment of chronic venous insufficiency."
Troxipide,Troxipide is a gastroprotective agent that is used to treat gastric ulcers and improve mucosal defense.
Trypan Blue,"Trypan Blue is a vital dye used in cell biology to selectively stain dead cells, allowing for viability assessment."
Trypsin,Trypsin is a serine protease enzyme that breaks down proteins in the digestive system.
Trypsin Chymotrypsin,Trypsin Chymotrypsin is a combination of two proteolytic enzymes used to aid digestion and reduce inflammation.
Tulobuterol,Tulobuterol is a bronchodilator used in the treatment of respiratory conditions such as asthma and chronic obstructive pulmonary disease.
Udenafil,Udenafil is a phosphodiesterase type 5 inhibitor used for the treatment of erectile dysfunction.
Ulinastatin,Ulinastatin is a urinary trypsin inhibitor that has anti-inflammatory properties and is used in various clinical settings.
Ulipristal acetate,Ulipristal acetate is a selective progesterone receptor modulator used primarily for the treatment of uterine fibroids and as an emergency contraceptive.
Umeclidinium,Umeclidinium is a long-acting muscarinic antagonist (LAMA) used in the management of chronic obstructive pulmonary disease (COPD) as a bronchodilator.
Uniflexin,Uniflexin is a combination medication that typically includes a nonsteroidal anti-inflammatory drug (NSAID) and is used for the relief of pain and inflammation.
Univestin,"Univestin is a dietary supplement derived from natural sources, often marketed for its potential benefits in joint health and inflammation."
Uracil,Uracil is a pyrimidine nucleobase that is a component of RNA and is involved in the synthesis of nucleotides.
Urea,"Urea is a nitrogen-containing compound produced in the liver, primarily involved in the excretion of nitrogen from the body."
Urofollitropin,Urofollitropin is a purified form of follicle-stimulating hormone (FSH) used in fertility treatments to stimulate ovarian follicle development.
Urokinase,Urokinase is an enzyme that helps dissolve blood clots and is used in the treatment of certain thromboembolic disorders.
Ursodeoxycholic Acid,Ursodeoxycholic acid is a bile acid used to treat certain liver diseases and gallstones by promoting bile flow and reducing cholesterol absorption.
Ursodeoxycholic Acid Ursodiol,Ursodiol is a formulation of ursodeoxycholic acid used to dissolve cholesterol gallstones and treat primary biliary cholangitis.
Vaccine,A biological preparation that provides active acquired immunity to a particular infectious disease.
Valacyclovir,"An antiviral medication used to treat infections caused by certain types of viruses, including herpes simplex and varicella-zoster."
Valdecoxib,"A nonsteroidal anti-inflammatory drug (NSAID) that was used to relieve pain and inflammation, particularly in osteoarthritis and rheumatoid arthritis."
Valethamate,An anticholinergic drug used primarily as a muscle relaxant and to relieve spasms.
Valganciclovir,"An antiviral medication used to prevent and treat cytomegalovirus (CMV) infections, particularly in immunocompromised patients."
Valproic Acid,Valproic Acid is an anticonvulsant and mood-stabilizing drug used primarily to treat epilepsy and bipolar disorder.
Valsartan,Valsartan is an angiotensin II receptor blocker (ARB) used to treat high blood pressure and heart failure.
Vancomycin,"Vancomycin is an antibiotic used to treat serious bacterial infections, particularly those caused by Gram-positive bacteria."
Vandetanib,Vandetanib is a tyrosine kinase inhibitor used in the treatment of medullary thyroid cancer.
Vardenafil,Vardenafil is a phosphodiesterase type 5 (PDE5) inhibitor used to treat erectile dysfunction.
Varenicline,Varenicline is a medication used to help people quit smoking by reducing withdrawal symptoms and cravings.
Varicella Vaccine attenuated,The Varicella Vaccine attenuated is a live attenuated vaccine used to prevent chickenpox.
Vasopressin,Vasopressin is a hormone that regulates water retention in the body and is used in the treatment of diabetes insipidus and certain types of shock.
Vecuronium,Vecuronium is a neuromuscular blocking agent used to induce paralysis during surgical procedures or mechanical ventilation.
Velpatasvir,Velpatasvir is an antiviral medication used in combination therapies for the treatment of chronic hepatitis C virus infection.
Venlafaxine,"Venlafaxine is a serotonin-norepinephrine reuptake inhibitor (SNRI) used primarily to treat major depressive disorder, anxiety, and panic disorder."
Verapamil,"Verapamil is a calcium channel blocker used to treat hypertension, angina, and certain heart rhythm disorders."
Vericiguat,Vericiguat is a soluble guanylate cyclase stimulator indicated for the treatment of heart failure.
Verteporfin,Verteporfin is a photosensitizing agent used in photodynamic therapy for the treatment of certain types of macular degeneration.
Vi Capsular Polysaccharide Of Salmonella Typhi,Vi Capsular Polysaccharide Of Salmonella Typhi is a component used in vaccines to provide immunity against typhoid fever.
Vigabatrin,Vigabatrin is an antiepileptic medication used primarily to treat refractory complex partial seizures and infantile spasms.
Vilanterol,Vilanterol is a long-acting beta-agonist used in combination with other medications for the treatment of chronic obstructive pulmonary disease (COPD) and asthma.
Vilazodone,"Vilazodone is an antidepressant used for the treatment of major depressive disorder, acting as a selective serotonin reuptake inhibitor and a partial agonist at serotonin receptors."
Vildagliptin,"Vildagliptin is an oral antihyperglycemic agent used in the management of type 2 diabetes mellitus, functioning as a DPP-4 inhibitor."
Vinblastine,"Vinblastine is a chemotherapy medication used to treat various types of cancer, including Hodgkin's lymphoma and testicular cancer, by inhibiting cell division."
Vincristine,"Vincristine is a chemotherapy medication used to treat various types of cancer, including leukemia and lymphoma, by inhibiting cell division."
Vinorelbine,"Vinorelbine is a vinca alkaloid used in cancer treatment, particularly for non-small cell lung cancer and breast cancer, by disrupting the mitotic spindle."
Vinpocetine,"Vinpocetine is a synthetic derivative of the periwinkle plant, often used as a dietary supplement for cognitive enhancement and improving blood flow."
Vitamin A,"Vitamin A is a fat-soluble vitamin essential for vision, immune function, and skin health, found in foods like liver, fish, and dairy products."
Vitamin B,"Vitamin B refers to a group of water-soluble vitamins that play important roles in cell metabolism, including B1, B2, B3, B5, B6, B7, B9, and B12."
Vitamin B12,"Vitamin B12, also known as cobalamin, is a water-soluble vitamin essential for red blood cell formation, neurological function, and DNA synthesis."
Vitamin B2,"Vitamin B2, or riboflavin, is a water-soluble vitamin that plays a key role in energy production and the metabolism of fats, drugs, and steroids."
Vitamin B3,"Vitamin B3, also known as niacin, is a water-soluble vitamin important for converting nutrients into energy and maintaining healthy skin and nerves."
Vitamin B6,"Vitamin B6, or pyridoxine, is a water-soluble vitamin involved in amino acid metabolism, neurotransmitter synthesis, and the production of hemoglobin."
Vitamin C,"Vitamin C, or ascorbic acid, is a water-soluble vitamin that acts as an antioxidant and is important for collagen synthesis, immune function, and iron absorption."
Vitamin D,A fat-soluble vitamin that is important for maintaining healthy bones and supporting immune function.
Vitamin D3,"Also known as cholecalciferol, it is a form of vitamin D produced in the skin in response to sunlight and is crucial for calcium absorption."
Vitamin E,A fat-soluble antioxidant that helps protect cells from oxidative damage and supports immune function.
Vitamin K,A group of fat-soluble vitamins that are essential for blood clotting and bone metabolism.
Voglibose,An alpha-glucosidase inhibitor used to manage postprandial hyperglycemia in patients with type 2 diabetes.
Voriconazole,"Voriconazole is an antifungal medication used to treat serious fungal infections, particularly those caused by Aspergillus species."
Vortioxetine,Vortioxetine is an antidepressant used to treat major depressive disorder and is classified as a serotonin modulator and stimulator.
Warfarin,"Warfarin is an anticoagulant medication used to prevent blood clots in various conditions, including atrial fibrillation and venous thromboembolism."
White mineral oil,"White mineral oil is a colorless, odorless oil used as a laxative and in various cosmetic and pharmaceutical formulations."
Whole Virion Inactivated Corona Virus vaccine,Whole Virion Inactivated Corona Virus vaccine is a type of vaccine that uses inactivated virus particles to stimulate an immune response against COVID-19.
Xantinol Nicotinate,A vasodilator and nootropic agent used to improve blood flow and cognitive function.
Xipamide,A thiazide-like diuretic used to treat hypertension and edema.
